الجذر,الحرف الأول للجذر,الحرف الثاني للجذر,الحرف الثالث للجذر,فعَل يفعُل,فعَل يفعِل,فعَل يفعَل,فعِل يفعَل,فعُل يفعُل,فعِل يفعِل
أبأ,أ,ب,أ,,,م,,,
أبب,أ,ب,ب,ك,ك,,,,
أبت,أ,ب,ت,ل,ل,,ل,,
أبث,أ,ب,ث,,ك,,ل,,
أبد,أ,ب,د,ل,ل,,ل,,
أبر,أ,ب,ر,ك,ك,,ل,,
أبز,أ,ب,ز,,ل,,,,
أبس,أ,ب,س,,ك,,,,
أبش,أ,ب,ش,,ك,,,,
أبص,أ,ب,ص,,ل,,ل,,
أبض,أ,ب,ض,م,ك,,ل,,
أبط,أ,ب,ط,,م,,,,
أبق,أ,ب,ق,ل,ل,,ل,,
أبك,أ,ب,ك,,,,ل,,
أبل,أ,ب,ل,ك,ك,,ل,ل,
أبن,أ,ب,ن,ك,ك,,,,
أبه,أ,ب,ه,,,ك,ك,,
أبو,أ,ب,و,ك,,,,,
أبي,أ,ب,ي,,,ك,ل,,
أتت,أ,ت,ت,م,,,,,
أتل,أ,ت,ل,,ل,,,,
أتم,أ,ت,م,,ك,,ل,,
أتن,أ,ت,ن,,ل,,,,
أتو,أ,ت,و,ك,,,,,
أتي,أ,ت,ي,,ك,,,,
أثأ,أ,ث,أ,,,م,,,
أثث,أ,ث,ث,ل,ل,,ل,,
أثر,أ,ث,ر,م,م,,ل,,
أثف,أ,ث,ف,,ك,,,,
أثل,أ,ث,ل,,ل,,,ل,
أثم,أ,ث,م,م,م,,ل,,
أثو,أ,ث,و,ك,,,,,
أثي,أ,ث,ي,,ل,,,,
أجأ,أ,ج,أ,,,ل,,,
أجج,أ,ج,ج,ل,ل,,,,
أجد,أ,ج,د,م,,,,,
أجر,أ,ج,ر,ك,ك,,,,
أجل,أ,ج,ل,ك,ك,,ل,,
أجم,أ,ج,م,,ك,,ك,,
أجن,أ,ج,ن,ك,ك,,ل,ل,
أحح,أ,ح,ح,ل,,,,,
أحد,أ,ح,د,,,,ل,,
أحن,أ,ح,ن,,,ل,ل,,
أخذ,أ,خ,ذ,ك,,,ل,ل,
أخو,أ,خ,و,م,,,,,
أدب,أ,د,ب,,ك,,,ل,
أدد,أ,د,د,ك,ك,,,,
أدر,أ,د,ر,,,,ل,,
أدل,أ,د,ل,,ك,,,,
أدم,أ,د,م,م,ك,,ل,ل,
أدو,أ,د,و,ك,,,,,
أدي,أ,د,ي,,ك,,,,
أذج,أ,ذ,ج,ل,,,,,
أذذ,أ,ذ,ذ,م,,,,,
أذن,أ,ذ,ن,ك,,,ل,,
أذي,أ,ذ,ي,,,,ل,,
أرب,أ,ر,ب,,م,,ل,ل,
أرج,أ,ر,ج,,ك,,ل,,
أرخ,أ,ر,خ,م,,ل,,,
أرر,أ,ر,ر,ك,ل,,,,
أرز,أ,ر,ز,,ل,,,,
أرس,أ,ر,س,,ل,,,,
أرش,أ,ر,ش,ك,,,,,
أرض,أ,ر,ض,ك,,,ل,ل,
أرط,أ,ر,ط,ك,,,ل,,
أرق,أ,ر,ق,,,,ل,,
أرك,أ,ر,ك,ك,ك,,ل,,
أرم,أ,ر,م,,ك,,ل,,
أرن,أ,ر,ن,م,,,ل,,
أرو,أ,ر,و,م,,,,,
أري,أ,ر,ي,,ك,,ل,,
أزأ,أ,ز,أ,,,ك,,,
أزب,أ,ز,ب,,ل,,ل,,
أزج,أ,ز,ج,ل,ل,,ل,,
أزح,أ,ز,ح,,ل,,,,
أزر,أ,ز,ر,,ك,,ل,,
أزز,أ,ز,ز,ك,ك,,,,
أزف,أ,ز,ف,,ل,,ل,,
أزق,أ,ز,ق,,ك,,ك,,
أزل,أ,ز,ل,,ك,,,,
أزم,أ,ز,م,,ك,,ل,,
أزو,أ,ز,و,ك,,,,,
أزي,أ,ز,ي,,ك,,ل,,
أسد,أ,س,د,,ك,,ل,,
أسر,أ,س,ر,,م,,ل,,
أسس,أ,س,س,ك,,,,,
أسف,أ,س,ف,,,,ل,,
أسل,أ,س,ل,,,,,ل,
أسن,أ,س,ن,ك,ل,,ل,,
أسو,أ,س,و,ك,,,,,
أسي,أ,س,ي,,ك,,ل,,
أشب,أ,ش,ب,م,م,,ل,,
أشح,أ,ش,ح,,,,ل,,
أشر,أ,ش,ر,م,م,,ل,,
أشش,أ,ش,ش,ك,,,,,
أشي,أ,ش,ي,,م,,ل,,
أصت,أ,ص,ت,,ل,,,,
أصد,أ,ص,د,م,,,,,
أصر,أ,ص,ر,,م,,,,
أصص,أ,ص,ص,ك,ك,,,,
أصل,أ,ص,ل,م,,,ل,ل,
أصو,أ,ص,و,ل,,,,,
أصي,أ,ص,ي,,,,ل,,
أضض,أ,ض,ض,م,م,,,,
أضم,أ,ض,م,,,,ل,,
أطر,أ,ط,ر,ك,ك,,,,
أطط,أ,ط,ط,,ل,,,,
أطم,أ,ط,م,,ك,,ل,,
أفت,أ,ف,ت,,م,,,,
أفخ,أ,ف,خ,,م,,,,
أفد,أ,ف,د,,,,ل,,
أفر,أ,ف,ر,,ل,,ل,,
أفز,أ,ف,ز,,ل,,,,
أفف,أ,ف,ف,ل,ل,,,,
أفق,أ,ف,ق,,ك,,ل,,
أفك,أ,ف,ك,,ك,,ل,,
أفل,أ,ف,ل,ل,ل,,ل,,
أفن,أ,ف,ن,,ك,,ل,,
أقط,أ,ق,ط,,م,,,,
أقي,أ,ق,ي,,ك,,,,
أكأ,أ,ك,أ,,,ل,,,
أكد,أ,ك,د,م,,,,,
أكر,أ,ك,ر,م,,,,,
أكك,أ,ك,ك,ك,,,,,
أكل,أ,ك,ل,ك,,,ل,,
أكي,أ,ك,ي,,ل,,,,
ألب,أ,ل,ب,ك,ك,,ل,,
ألت,أ,ل,ت,,ك,,,,
ألز,أ,ل,ز,,ك,,ل,,
ألس,أ,ل,س,,ك,,,,
ألف,أ,ل,ف,,م,,م,,
ألق,أ,ل,ق,,ك,,ل,,
ألك,أ,ل,ك,م,ك,,,,
ألل,أ,ل,ل,ك,ك,,ل,,
ألم,أ,ل,م,,,,ل,,
أله,أ,ل,ه,,,ك,ل,,
ألو,أ,ل,و,ك,,,,,
ألي,أ,ل,ي,,,,ل,,
أمت,أ,م,ت,,م,,,,
أمج,أ,م,ج,,ل,,ل,,
أمح,أ,م,ح,,ل,,,,
أمد,أ,م,د,,,,ل,,
أمر,أ,م,ر,ك,,,ل,ل,
أمض,أ,م,ض,,,,ل,,
أمل,أ,م,ل,م,,,,,
أمم,أ,م,م,ك,,,م,,
أمن,أ,م,ن,,,,ك,ل,
أمه,أ,م,ه,ل,,,ك,,
أمو,أ,م,و,ل,,,,ل,
أنت,أ,ن,ت,,ك,,,,
أنث,أ,ن,ث,,,,,ل,
أنح,أ,ن,ح,,ل,,,,
أنس,أ,ن,س,,ل,,ل,ل,
أنض,أ,ن,ض,,ل,,,ل,
أنف,أ,ن,ف,ك,ك,,ك,,
أنق,أ,ن,ق,,,,ك,,
أنك,أ,ن,ك,ل,,,,,
أنن,أ,ن,ن,,ك,,,,
أنه,أ,ن,ه,,ل,,,,
أني,أ,ن,ي,,ل,,ل,,
أهل,أ,ه,ل,ك,ك,,ل,,
أهه,أ,ه,ه,ل,,,,,
أهي,أ,ه,ي,,ل,,,,
أوب,أ,و,ب,ك,,,ل,,
أود,أ,و,د,ك,,,ل,,
أور,أ,و,ر,م,,,,,
أوس,أ,و,س,م,,,,,
أوف,أ,و,ف,ك,,,,,
أوق,أ,و,ق,ل,,,,,
أول,أ,و,ل,ك,,,ل,,
أوم,أ,و,م,ك,,,,,
أون,أ,و,ن,ل,,,,,
أوه,أ,و,ه,ل,,,,,
أوي,أ,و,ي,,ك,,,,
أيب,أ,ي,ب,,ل,,,,
أيد,أ,ي,د,,ك,,,,
أير,أ,ي,ر,,م,,,,
أيس,أ,ي,س,,ك,,ل,,
أيض,أ,ي,ض,,ك,,,,
أيك,أ,ي,ك,,,,ل,,
أيم,أ,ي,م,,ك,,,,
أين,أ,ي,ن,,ل,,,,
بأج,ب,أ,ج,,,ك,,,
بأر,ب,أ,ر,,,ك,,,
بأس,ب,أ,س,,,,ل,ل,
بأش,ب,أ,ش,,,ك,,,
بأل,ب,أ,ل,,,,,ل,
بأه,ب,أ,ه,,,ل,,,
بأو,ب,أ,و,ك,,,,,
بأي,ب,أ,ي,,,ك,,,
بتأ,ب,ت,أ,,,ل,,,
بتت,ب,ت,ت,ك,ك,,,,
بتر,ب,ت,ر,م,,,ل,,
بتع,ب,ت,ع,,م,ل,ل,,
بتك,ب,ت,ك,م,م,,,,
بتل,ب,ت,ل,م,م,,ل,,
بتو,ب,ت,و,ل,,,,,
بثث,ب,ث,ث,م,م,,,,
بثر,ب,ث,ر,ل,,,ل,ل,
بثط,ب,ث,ط,,,,ل,,
بثع,ب,ث,ع,,,,ل,,
بثق,ب,ث,ق,ك,,,,,
بثو,ب,ث,و,ل,,,,,
بجج,ب,ج,ج,م,,,ل,,
بجح,ب,ج,ح,,,ك,ك,,
بجد,ب,ج,د,ل,,,,,
بجر,ب,ج,ر,ل,,,ل,,
بجس,ب,ج,س,ك,ك,,,,
بجع,ب,ج,ع,,,م,,,
بجل,ب,ج,ل,ل,,,ل,ل,
بجم,ب,ج,م,,ل,,,,
بحت,ب,ح,ت,,,,,ل,
بحث,ب,ح,ث,,,ك,,,
بحح,ب,ح,ح,,,ل,ل,,
بحر,ب,ح,ر,,,م,ل,,
بحز,ب,ح,ز,,,م,,,
بحش,ب,ح,ش,,,ل,,,
بخت,ب,خ,ت,,,م,,,
بخخ,ب,خ,خ,ل,,,,,
بخر,ب,خ,ر,,,ل,ل,,
بخز,ب,خ,ز,,,م,,,
بخس,ب,خ,س,,,م,,,
بخص,ب,خ,ص,,,م,ل,,
بخع,ب,خ,ع,,,ك,ل,,
بخق,ب,خ,ق,,,م,ل,,
بخل,ب,خ,ل,,,,ل,ل,
بخن,ب,خ,ن,,,ل,,,
بخو,ب,خ,و,ل,,,,,
بدأ,ب,د,أ,,,ك,,,
بدح,ب,د,ح,,,ك,,,
بدخ,ب,د,خ,,,ل,,,
بدد,ب,د,د,ك,,,ل,,
بدر,ب,د,ر,ك,,,,,
بدس,ب,د,س,م,,,,,
بدع,ب,د,ع,,,م,ل,ل,
بدغ,ب,د,غ,,,,ل,ل,
بدل,ب,د,ل,م,,,ل,,
بدن,ب,د,ن,ل,,,,ل,
بده,ب,د,ه,,,م,,,
بدو,ب,د,و,ل,,,,,
بدي,ب,د,ي,,,,ل,,
بذأ,ب,ذ,أ,,,ك,ل,ل,
بذح,ب,ذ,ح,,,ك,ل,,
بذخ,ب,ذ,خ,ل,,,ل,,
بذذ,ب,ذ,ذ,م,,,ل,,
بذر,ب,ذ,ر,ك,,,,ل,
بذع,ب,ذ,ع,,,ك,,,
بذل,ب,ذ,ل,ك,ك,,,,
بذم,ب,ذ,م,,,,,ل,
بذو,ب,ذ,و,ل,,,,ل,
برأ,ب,ر,أ,,,ك,ل,ل,
برت,ب,ر,ت,,,,ل,,
برث,ب,ر,ث,,,,ل,,
برج,ب,ر,ج,ل,,,ل,,
برح,ب,ر,ح,ل,,,ك,,
برد,ب,ر,د,ك,,,,ل,
برر,ب,ر,ر,,ك,,ك,,
برز,ب,ر,ز,ل,,,ل,ل,
برس,ب,ر,س,,,,ل,,
برش,ب,ر,ش,,,,ل,,
برص,ب,ر,ص,,,,ل,,
برض,ب,ر,ض,ل,ل,,,,
برع,ب,ر,ع,ك,,,ل,ل,
برغ,ب,ر,غ,,,,ل,,
برق,ب,ر,ق,ك,,,ل,,
برك,ب,ر,ك,ل,,,,,
برم,ب,ر,م,م,,,ل,,
بره,ب,ر,ه,,,,ل,,
برو,ب,ر,و,ك,,,,,
بري,ب,ر,ي,,ك,,,,
بزج,ب,ز,ج,ك,,,,,
بزخ,ب,ز,خ,,,م,ل,,
بزر,ب,ز,ر,ك,,,,,
بزز,ب,ز,ز,م,,,,,
بزع,ب,ز,ع,,,,,ل,
بزغ,ب,ز,غ,ك,,,,,
بزق,ب,ز,ق,ك,,,,,
بزل,ب,ز,ل,ك,,,,,
بزم,ب,ز,م,ك,ك,,,,
بزو,ب,ز,و,ك,,,ل,,
بسأ,ب,س,أ,,,ل,ل,,
