الجذر,الحرف الأول للجذر,الحرف الثاني للجذر,الحرف الثالث للجذر,أفعل,فعّل,فاعل,انفعل,افتعل,افعلّ,تفاعل,تفعّل,استفعل,افعوعل,افعوّل,افعالّ
أبب,أ,ب,ب,,ل,,,ل,,,ل,,,,
أبت,أ,ب,ت,,,,,,,,ل,,,,
أبد,أ,ب,د,,م,,,,,,ل,,,,
أبر,أ,ب,ر,,م,,,م,,,ل,,,,
أبس,أ,ب,س,,م,,,,,,ل,,,,
أبش,أ,ب,ش,,ك,,,,,,ل,,,,
أبض,أ,ب,ض,,,,,,,,ك,,,,
أبط,أ,ب,ط,,,,,ل,,,م,ل,,,
أبق,أ,ب,ق,,,,,,,,ك,,,,
أبل,أ,ب,ل,ل,ك,,,ل,,,ك,,,,
أبن,أ,ب,ن,,م,,,,,,م,,,,
أبه,أ,ب,ه,م,م,,,,,,ل,,,,
أبو,أ,ب,و,,م,,,,,,م,م,,,
أبي,أ,ب,ي,ك,,,,,,,ل,,,,
أتب,أ,ت,ب,,ك,,,ل,,,ك,,,,
أتر,أ,ت,ر,,م,,,,,,,,,,
أتم,أ,ت,م,م,م,,,,,,,,,,
أتن,أ,ت,ن,ل,,,,,,,,ل,,,
أته,أ,ت,ه,,,,,,,,ل,,,,
أتو,أ,ت,و,ل,,,,,,,,,,,
أتي,أ,ت,ي,م,ك,,,,,,ل,ك,,,
أثث,أ,ث,ث,,م,,,,,,ل,,,,
أثج,أ,ث,ج,,,,,,,,,ل,,,
أثر,أ,ث,ر,ك,ك,,,ك,,,ك,ك,,,
أثف,أ,ث,ف,م,م,,,,,,م,,,,
أثل,أ,ث,ل,,ك,,,,,,ك,,,,
أثم,أ,ث,م,م,م,,,,,,ل,,,,
أثي,أ,ث,ي,,,ك,,ل,,ل,,,,,
أجج,أ,ج,ج,,م,,,ل,,ل,ل,,,,
أجد,أ,ج,د,م,,,,,,,,,,,
أجر,أ,ج,ر,م,,م,,ل,,,,م,,,
أجز,أ,ج,ز,,,,,,,,,ل,,,
أجل,أ,ج,ل,م,م,,,,,,ك,ك,,,
أجم,أ,ج,م,م,م,,,,,,ل,,,,
أحد,أ,ح,د,,ك,,,ل,,,,ل,,,
أحن,أ,ح,ن,,,م,,,,,,,,,
أخذ,أ,خ,ذ,,ك,م,,ك,,,,ل,,,
أخر,أ,خ,ر,,ك,,,,,,ل,ل,,,
أخو,أ,خ,و,ك,ك,م,,,,ل,م,,,,
أدب,أ,د,ب,ك,م,,,,,,ل,ل,,,
أدد,أ,د,د,,,,,,,,ل,,,,
أدم,أ,د,م,ك,م,,,ك,,,,م,,,
أدو,أ,د,و,,,,,,,,ل,,,,
أدي,أ,د,ي,ك,ك,,,,,ل,ل,ك,,,
أذن,أ,ذ,ن,ك,ك,,,,,,ك,ك,,,
أذي,أ,ذ,ي,ك,,,,,,,ل,,,,
أرب,أ,ر,ب,ك,ك,ك,,,,,ل,ل,,,
أرث,أ,ر,ث,,ك,,,,,,ل,,,,
أرج,أ,ر,ج,,ك,,,,,,ل,,,,
أرخ,أ,ر,خ,م,م,,,,,,,,,,
أرر,أ,ر,ر,,,,,ل,,,,,,,
أرز,أ,ر,ز,,م,,,,,,,,,,
أرس,أ,ر,س,ل,ك,,,,,,,,,,
أرش,أ,ر,ش,,ك,,,ل,,,,,,,
أرض,أ,ر,ض,ك,ك,,,,,,ك,ل,,,
أرط,أ,ر,ط,ل,,,,,,,,,,,
أرف,أ,ر,ف,,م,م,,,,,,,,,
أرق,أ,ر,ق,م,م,,,ل,,,ل,,,,
أرك,أ,ر,ك,ل,م,,,ل,,,,,,,
أرم,أ,ر,م,,,م,,,,,,,,,
أرن,أ,ر,ن,م,,م,,,,,,,,,
أري,أ,ر,ي,م,ك,,,ل,,,ك,,,,
أزب,أ,ز,ب,,,,,,,,م,,,,
أزج,أ,ز,ج,,م,,,,,,,,,,
أزح,أ,ز,ح,,,,,,,,ل,,,,
أزر,أ,ز,ر,,ك,م,,ل,,,ل,,,,
أزز,أ,ز,ز,,,,,ل,,,ل,,,,
أزف,أ,ز,ف,م,,,,,,ل,ل,,,,
أزق,أ,ز,ق,,,,,,,,ل,ل,,,
أزل,أ,ز,ل,ك,,,,,,,ل,,,,
أزم,أ,ز,م,,,,,,,,ل,,,,
أزي,أ,ز,ي,ك,م,ك,,,,ل,ك,,,,
أسب,أ,س,ب,ل,,,,,,,,,,,
أسد,أ,س,د,ك,م,,,,,,ل,ك,,,
أسر,أ,س,ر,,,,,,,,ل,ك,,,
أسس,أ,س,س,,م,,,,,,,,,,
أسف,أ,س,ف,م,,,,,,,ل,,,,
أسل,أ,س,ل,,ك,,,,,,م,,,,
أسن,أ,س,ن,م,,,,,,,ك,,,,
أسو,أ,س,و,,ك,ك,,ل,,ل,ل,,,,
أسي,أ,س,ي,م,,م,,,,,,,,,
أشب,أ,ش,ب,,ك,,,ل,,,ل,,,,
أشر,أ,ش,ر,,ك,,,ل,,,,ل,,,
أشن,أ,ش,ن,,,,,,,,ل,,,,
أشي,أ,ش,ي,م,,,,ل,,,,,,,
أصد,أ,ص,د,م,م,,,,,,,,,,
أصر,أ,ص,ر,,,م,,ل,,ل,,,,,
أصص,أ,ص,ص,,م,,,ل,,,ل,,,,
أصل,أ,ص,ل,ل,م,,,,,,ل,ك,,,
أصي,أ,ص,ي,,ل,,,,,,,,,,
أضض,أ,ض,ض,,,ل,,ك,,,,,,,
أطد,أ,ط,د,,م,,,,,,,,,,
أطر,أ,ط,ر,,ك,,ل,,,,ل,,,,
أطم,أ,ط,م,م,م,,,ل,,,ل,,,,
أفد,أ,ف,د,,ل,,,,,,,ل,,,
أفر,أ,ف,ر,,,,,,,,,ل,,,
أفظ,أ,ف,ظ,,,,,م,,,,,,,
أفف,أ,ف,ف,,ك,,,,,,ل,,,,
أفق,أ,ف,ق,,,,,,,,ل,,,,
أفك,أ,ف,ك,م,ك,,,ل,,,ل,,,,
أفل,أ,ف,ل,,م,,,,,,ل,,,,
أفن,أ,ف,ن,,,,,,,,ك,,,,
أفي,أ,ف,ي,ل,,,,,,,,,,,
أقط,أ,ق,ط,ل,,,,م,,,,,,,
أكد,أ,ك,د,م,م,,,,,,ل,,,,
أكر,أ,ك,ر,,,ك,,,,,ك,,,,
أكف,أ,ك,ف,م,م,,,,,,,,,,
أكك,أ,ك,ك,,,,,ل,,,,,,,
أكل,أ,ك,ل,ك,ك,ك,,ك,,ل,ل,م,,,
أكم,أ,ك,م,,ل,,,,,,,ك,,,
ألب,أ,ل,ب,,ك,,,,,,ل,,,,
ألت,أ,ل,ت,ك,,,,,,,,,,,
ألخ,أ,ل,خ,,,,,ل,,,,,,,
ألد,أ,ل,د,,,,,,,,ل,,,,
ألس,أ,ل,س,,,ك,,,,,ل,,,,
ألف,أ,ل,ف,ك,ك,ك,,ل,,ل,ك,ك,,,
ألق,أ,ل,ق,,,,,ل,,,ل,,,,
ألك,أ,ل,ك,,,,,,,,,م,,,
ألل,أ,ل,ل,,م,,,ل,,,ل,,,,
ألم,أ,ل,م,م,م,,,,,,ل,,,,
أله,أ,ل,ه,,م,,,,,,ل,ل,,,
ألو,أ,ل,و,ك,ك,,,ل,,,ل,,,,
أمت,أ,م,ت,,م,,,,,,,,,,
أمد,أ,م,د,,ك,,,,,,ل,,,,
أمر,أ,م,ر,م,م,م,,ك,,ل,ك,ك,,,
أمع,أ,م,ع,,,,,,,,ل,ل,,,
أمل,أ,م,ل,,م,,,,,,ك,,,,
أمم,أ,م,م,,م,,,ك,,,ك,م,,,
أمن,أ,م,ن,ك,ك,,,م,,,,ك,,,
أمه,أ,م,ه,,,,,,,,ك,,,,
أمو,أ,م,و,,م,,,,,,ك,م,,,
أنب,أ,ن,ب,,م,,,ل,,,,,,,
أنث,أ,ن,ث,ل,ك,,,,,,ل,,,,
أنس,أ,ن,س,م,م,م,,,,ل,ل,ك,,,
أنض,أ,ن,ض,م,,,,,,,,,,,
أنف,أ,ن,ف,م,ك,,,م,,,ك,م,,,
أنق,أ,ن,ق,م,ك,,,,,,ك,,,,
أنن,أ,ن,ن,,م,,,,,,م,,,,
أني,أ,ن,ي,ك,ك,,,,,,ك,ك,,,
أهب,أ,ه,ب,,ل,,,,,,ل,,,,
أهل,أ,ه,ل,م,ك,,,ل,,,ل,ك,,,
أهه,أ,ه,ه,,ل,,,,,,ل,,,,
أوب,أ,و,ب,,ك,ك,,ك,,ل,ك,,,,
أوخ,أ,و,خ,,,,,,,,م,,,,
أود,أ,و,د,,م,,ل,,,م,ك,,,,
أور,أ,و,ر,,م,,,,,,,ل,,,
أوس,أ,و,س,,,,,,,,,م,,,
أوق,أ,و,ق,,م,,,,,,ل,,,,
أول,أ,و,ل,,ك,,,م,,,م,,,,
أوم,أ,و,م,,م,,,,,,,,,,
أون,أ,و,ن,,ل,,,,,,ل,,,,
أوه,أ,و,ه,,ل,,,,,,ل,,,,
أوي,أ,و,ي,ك,ك,,,ك,,ل,ك,م,,,
أيب,أ,ي,ب,,ل,,,,,,ك,,,,
أيد,أ,ي,د,,م,ك,,,,,ل,,,,
أيس,أ,ي,س,م,ك,,,,,,ل,,,,
أيك,أ,ي,ك,,,,,,,,,ل,,,
أيم,أ,ي,م,,م,,,ك,,,ل,,,,
أيه,أ,ي,ه,,ل,,,,,,,,,,
بأج,ب,أ,ج,,ل,,,,,,,,,,
