الجذر,الحرف الأول للجذر,الحرف الثاني للجذر,الحرف الثالث للجذر,الحرف الرابع للجذر,فَعْلَلَ
أتمت,أ,ت,م,ت,م
أقلم,أ,ق,ل,م,م
أكسد,أ,ك,س,د,م
بأبأ,ب,أ,ب,أ,ك
بأدل,ب,أ,د,ل,ل
بأذن,ب,أ,ذ,ن,ل
بثبث,ب,ث,ب,ث,م
بجبج,ب,ج,ب,ج,ك
بحبح,ب,ح,ب,ح,ك
بحتن,ب,ح,ت,ن,ل
بحثر,ب,ح,ث,ر,ك
بحدل,ب,ح,د,ل,ل
بحشل,ب,ح,ش,ل,ل
بحظل,ب,ح,ظ,ل,ل
بحلق,ب,ح,ل,ق,ل
بخبخ,ب,خ,ب,خ,ك
بختر,ب,خ,ت,ر,ل
بخثر,ب,خ,ث,ر,م
بخذع,ب,خ,ذ,ع,م
بخضل,ب,خ,ض,ل,ل
بخلص,ب,خ,ل,ص,ل
بخنق,ب,خ,ن,ق,م
بذبذ,ب,ذ,ب,ذ,ك
بذرق,ب,ذ,ر,ق,ك
بذقط,ب,ذ,ق,ط,م
بذلخ,ب,ذ,ل,خ,ل
برأل,ب,ر,أ,ل,ل
بربر,ب,ر,ب,ر,ل
بربس,ب,ر,ب,س,م
بربص,ب,ر,ب,ص,م
برتك,ب,ر,ت,ك,م
برثط,ب,ر,ث,ط,ل
برجم,ب,ر,ج,م,ك
برذن,ب,ر,ذ,ن,ك
برسم,ب,ر,س,م,م
برشط,ب,ر,ش,ط,م
برشق,ب,ر,ش,ق,م
برشك,ب,ر,ش,ك,م
برشم,ب,ر,ش,م,ك
برطس,ب,ر,ط,س,ل
برطل,ب,ر,ط,ل,ك
برطم,ب,ر,ط,م,ك
برعم,ب,ر,ع,م,ل
برغث,ب,ر,غ,ث,ل
برغش,ب,ر,غ,ش,ل
برغل,ب,ر,غ,ل,ل
برقح,ب,ر,ق,ح,ل
برقش,ب,ر,ق,ش,ك
برقط,ب,ر,ق,ط,ك
برقع,ب,ر,ق,ع,م
برقل,ب,ر,ق,ل,ل
بركع,ب,ر,ك,ع,ك
برمج,ب,ر,م,ج,م
برنس,ب,ر,ن,س,م
برنق,ب,ر,ن,ق,م
برهم,ب,ر,ه,م,ل
برهن,ب,ر,ه,ن,ك
بروز,ب,ر,و,ز,م
بزبز,ب,ز,ب,ز,ك
بزمخ,ب,ز,م,خ,ل
بسبس,ب,س,ب,س,ل
بستر,ب,س,ت,ر,م
بسمل,ب,س,م,ل,ل
بشبش,ب,ش,ب,ش,ل
بشرن,ب,ش,ر,ن,م
بصبص,ب,ص,ب,ص,ك
بضبض,ب,ض,ب,ض,م
بطبط,ب,ط,ب,ط,م
بظرم,ب,ظ,ر,م,ل
بعبع,ب,ع,ب,ع,ل
بعثر,ب,ع,ث,ر,ك
بعذر,ب,ع,ذ,ر,م
بعزق,ب,ع,ز,ق,م
بعكر,ب,ع,ك,ر,م
بعنس,ب,ع,ن,س,ل
بغبغ,ب,غ,ب,غ,م
بغثر,ب,غ,ث,ر,ك
بغسل,ب,غ,س,ل,ل
بقبق,ب,ق,ب,ق,ك
بكبك,ب,ك,ب,ك,ك
بلأز,ب,ل,أ,ز,ل
بلأص,ب,ل,أ,ص,ل
بلبل,ب,ل,ب,ل,م
بلتي,ب,ل,ت,ي,م
بلجم,ب,ل,ج,م,م
بلحم,ب,ل,ح,م,م
بلدح,ب,ل,د,ح,ل
بلدم,ب,ل,د,م,ل
بلسم,ب,ل,س,م,ك
بلصم,ب,ل,ص,م,ل
بلطج,ب,ل,ط,ج,ل
بلطح,ب,ل,ط,ح,ك
بلطم,ب,ل,ط,م,ل
بلعك,ب,ل,ع,ك,م
بلعم,ب,ل,ع,م,م
بلقع,ب,ل,ق,ع,ل
بلكع,ب,ل,ك,ع,م
بلمر,ب,ل,م,ر,م
بلهس,ب,ل,ه,س,ل
بلهص,ب,ل,ه,ص,ل
بلهق,ب,ل,ه,ق,ل
بلور,ب,ل,و,ر,م
بنبن,ب,ن,ب,ن,ل
بندق,ب,ن,د,ق,ك
بهبه,ب,ه,ب,ه,ل
بهتر,ب,ه,ت,ر,ل
بهدل,ب,ه,د,ل,ل
بهرج,ب,ه,ر,ج,ك
بهرم,ب,ه,ر,م,م
بهصل,ب,ه,ص,ل,ك
بهلق,ب,ه,ل,ق,ك
بهنس,ب,ه,ن,س,ل
بيدر,ب,ي,د,ر,م
بيطر,ب,ي,ط,ر,ل
بيقر,ب,ي,ق,ر,ل
تأتأ,ت,أ,ت,أ,ل
تبتب,ت,ب,ت,ب,ل
تبرك,ت,ب,ر,ك,ل
تحتح,ت,ح,ت,ح,ك
تختخ,ت,خ,ت,خ,ل
تربس,ت,ر,ب,س,م
ترتر,ت,ر,ت,ر,ك
ترجم,ت,ر,ج,م,ك
ترقي,ت,ر,ق,ي,م
ترمس,ت,ر,م,س,ل
تعتع,ت,ع,ت,ع,ك
تغتغ,ت,غ,ت,غ,ك
تفتف,ت,ف,ت,ف,ل
تقتق,ت,ق,ت,ق,ل
تكتك,ت,ك,ت,ك,ك
تلتل,ت,ل,ت,ل,ك
تلفز,ت,ل,ف,ز,م
تلفن,ت,ل,ف,ن,ل
تلمذ,ت,ل,م,ذ,ك
تمتم,ت,م,ت,م,ك
تمهل,ت,م,ه,ل,ل
تنبل,ت,ن,ب,ل,ل
تنتل,ت,ن,ت,ل,ل
تنتن,ت,ن,ت,ن,ل
تهته,ت,ه,ت,ه,ل
توبل,ت,و,ب,ل,م
تودأ,ت,و,د,أ,ل
ثأثأ,ث,أ,ث,أ,ك
ثألل,ث,أ,ل,ل,م
ثبثب,ث,ب,ث,ب,ل
ثجثج,ث,ج,ث,ج,ك
ثحثح,ث,ح,ث,ح,ل
ثرثر,ث,ر,ث,ر,ك
ثرطل,ث,ر,ط,ل,ل
ثرطم,ث,ر,ط,م,ل
ثرمد,ث,ر,م,د,م
ثرمط,ث,ر,م,ط,ك
ثرمل,ث,ر,م,ل,ك
ثعثع,ث,ع,ث,ع,ل
ثعجر,ث,ع,ج,ر,م
ثعرر,ث,ع,ر,ر,ل
ثعلب,ث,ع,ل,ب,ل
ثغثغ,ث,غ,ث,غ,ك
ثفثق,ث,ف,ث,ق,ل
ثقثق,ث,ق,ث,ق,ل
ثكثك,ث,ك,ث,ك,ل
ثلثل,ث,ل,ث,ل,م
ثلمط,ث,ل,م,ط,ل
ثمتل,ث,م,ت,ل,ل
ثمثم,ث,م,ث,م,ك
ثملط,ث,م,ل,ط,ل
ثنثن,ث,ن,ث,ن,ل
ثهثه,ث,ه,ث,ه,ل
ثيتل,ث,ي,ت,ل,ل
جأبز,ج,أ,ب,ز,ل
جأجأ,ج,أ,ج,أ,ك
جألل,ج,أ,ل,ل,ل
جبجب,ج,ب,ج,ب,ل
جثجث,ج,ث,ج,ث,ل
جحجب,ج,ح,ج,ب,ك
جحجح,ج,ح,ج,ح,ك
جحدر,ج,ح,د,ر,م
جحدل,ج,ح,د,ل,ك
جحظم,ج,ح,ظ,م,م
جحفل,ج,ح,ف,ل,م
جحمظ,ج,ح,م,ظ,ك
جخجخ,ج,خ,ج,خ,ك
جخدب,ج,خ,د,ب,ل
جدول,ج,د,و,ل,م
جذجذ,ج,ذ,ج,ذ,م
جربذ,ج,ر,ب,ذ,ل
جربز,ج,ر,ب,ز,ل
جرثل,ج,ر,ث,ل,م
جرثم,ج,ر,ث,م,م
جرجب,ج,ر,ج,ب,م
جرجر,ج,ر,ج,ر,ك
جرجم,ج,ر,ج,م,م
جردب,ج,ر,د,ب,ك
جردح,ج,ر,د,ح,م
جردل,ج,ر,د,ل,ل
جردم,ج,ر,د,م,ك
جرذم,ج,ر,ذ,م,ل
جرسم,ج,ر,س,م,ل
جرشب,ج,ر,ش,ب,ل
جرشم,ج,ر,ش,م,ل
جرعب,ج,ر,ع,ب,م
جرفخ,ج,ر,ف,خ,م
جرفس,ج,ر,ف,س,ك
جرمز,ج,ر,م,ز,ل
جزمر,ج,ز,م,ر,م
جشجش,ج,ش,ج,ش,م
جعبر,ج,ع,ب,ر,م
جعبل,ج,ع,ب,ل,ل
جعبي,ج,ع,ب,ي,م
جعثر,ج,ع,ث,ر,م
جعجع,ج,ع,ج,ع,ك
جعدر,ج,ع,د,ر,ل
جعضر,ج,ع,ض,ر,ل
جعفد,ج,ع,ف,د,م
جعفق,ج,ع,ف,ق,ل
جعفل,ج,ع,ف,ل,ك
جعمر,ج,ع,م,ر,ل
جفجف,ج,ف,ج,ف,ك
جلبب,ج,ل,ب,ب,م
جلجل,ج,ل,ج,ل,ك
جلحب,ج,ل,ح,ب,ل
جلحم,ج,ل,ح,م,م
جلعد,ج,ل,ع,د,ك
جلفط,ج,ل,ف,ط,م
جلفظ,ج,ل,ف,ظ,م
جلفن,ج,ل,ف,ن,م
جلمق,ج,ل,م,ق,م
جلهز,ج,ل,ه,ز,ل
جلهق,ج,ل,ه,ق,م
جلوز,ج,ل,و,ز,ل
جمجم,ج,م,ج,م,ك
جمرك,ج,م,ر,ك,م
جمزر,ج,م,ز,ر,ل
جمعر,ج,م,ع,ر,ك
جمعل,ج,م,ع,ل,م
جمهر,ج,م,ه,ر,م
جنبذ,ج,ن,ب,ذ,م
جندر,ج,ن,د,ر,م
جندل,ج,ن,د,ل,م
جنفس,ج,ن,ف,س,ل
جهجأ,ج,ه,ج,أ,م
جهجه,ج,ه,ج,ه,ك
جهمز,ج,ه,م,ز,م
جهور,ج,ه,و,ر,ك
جورب,ج,و,ر,ب,م
حأحأ,ح,أ,ح,أ,ل
حبحب,ح,ب,ح,ب,ك
حبرم,ح,ب,ر,م,ل
حبكر,ح,ب,ك,ر,م
حتحت,ح,ت,ح,ت,ك
حتفل,ح,ت,ف,ل,ل
حثحث,ح,ث,ح,ث,ك
حثرب,ح,ث,ر,ب,ل
حثرف,ح,ث,ر,ف,م
حثيل,ح,ث,ي,ل,ل
حجحج,ح,ج,ح,ج,ل
حدرج,ح,د,ر,ج,م
حدقل,ح,د,ق,ل,ل
حذفر,ح,ذ,ف,ر,ك
حذلق,ح,ذ,ل,ق,ل
حذلم,ح,ذ,ل,م,ك
حربص,ح,ر,ب,ص,م
حربظ,ح,ر,ب,ظ,م
حربق,ح,ر,ب,ق,م
حرجل,ح,ر,ج,ل,ل
حرجم,ح,ر,ج,م,م
حرزق,ح,ر,ز,ق,ك
حرزم,ح,ر,ز,م,م
حرقص,ح,ر,ق,ص,ك
حرقف,ح,ر,ق,ف,ك
حركث,ح,ر,ك,ث,م
حركل,ح,ر,ك,ل,ل
حرمد,ح,ر,م,د,ل
حرمز,ح,ر,م,ز,م
حزأل,ح,ز,أ,ل,ل
حزرق,ح,ز,ر,ق,ك
حزفر,ح,ز,ف,ر,ك
حزمر,ح,ز,م,ر,ك
حسبل,ح,س,ب,ل,ل
حسحس,ح,س,ح,س,ك
حسكك,ح,س,ك,ك,ل
حسكل,ح,س,ك,ل,ل
حشحش,ح,ش,ح,ش,ك
حشرج,ح,ش,ر,ج,ل
حصحص,ح,ص,ح,ص,ك
حصرب,ح,ص,ر,ب,ل
حصرم,ح,ص,ر,م,ك
حضجر,ح,ض,ج,ر,م
حضرب,ح,ض,ر,ب,م
حضرم,ح,ض,ر,م,ك
حطحط,ح,ط,ح,ط,ل
حطمر,ح,ط,م,ر,م
حظرب,ح,ظ,ر,ب,م
حظلب,ح,ظ,ل,ب,ل
حفحف,ح,ف,ح,ف,ل
حقحق,ح,ق,ح,ق,ل
حلبس,ح,ل,ب,س,ل
حلحل,ح,ل,ح,ل,ك
حلقم,ح,ل,ق,م,ك
حمحم,ح,م,ح,م,ل
حمدل,ح,م,د,ل,ل
حمطر,ح,م,ط,ر,م
حمظل,ح,م,ظ,ل,ك
حملج,ح,م,ل,ج,م
حملق,ح,م,ل,ق,ل
حنبش,ح,ن,ب,ش,ك
حنبص,ح,ن,ب,ص,ل
حنبل,ح,ن,ب,ل,ل
حنجر,ح,ن,ج,ر,ك
حنجل,ح,ن,ج,ل,ل
حنذي,ح,ن,ذ,ي,ل
حنطر,ح,ن,ط,ر,ل
حنظل,ح,ن,ظ,ل,ل
حنظي,ح,ن,ظ,ي,ل
حنكل,ح,ن,ك,ل,ل
حوجل,ح,و,ج,ل,ل
حوحي,ح,و,ح,ي,ل
حوصل,ح,و,ص,ل,ل
حوفز,ح,و,ف,ز,م
حوفل,ح,و,ف,ل,ل
حوقل,ح,و,ق,ل,ك
حولق,ح,و,ل,ق,ل
حومل,ح,و,م,ل,ل
حيحي,ح,ي,ح,ي,ل
حيعل,ح,ي,ع,ل,ل
خبتل,خ,ب,ت,ل,ل
خبخب,خ,ب,خ,ب,ك
خبرع,خ,ب,ر,ع,ل
خبرق,خ,ب,ر,ق,م
خبعل,خ,ب,ع,ل,ل
خترب,خ,ت,ر,ب,م
خترف,خ,ت,ر,ف,ل
خترم,خ,ت,ر,م,ل
ختعر,خ,ت,ع,ر,ل
ختعل,خ,ت,ع,ل,ل
