الجذر,الحرف الأول للجذر,الحرف الثاني للجذر,الحرف الثالث للجذر,الحرف الرابع للجذر,تفعلل,افعنلل,افعللّ
أقلم,أ,ق,ل,م,ل,,
أكسد,أ,ك,س,د,ل,,
أورب,أ,و,ر,ب,ل,,
بأبأ,ب,أ,ب,أ,ل,,
بثأج,ب,ث,أ,ج,,,ل
بجبج,ب,ج,ب,ج,ل,,
بحبح,ب,ح,ب,ح,ك,,
بحتر,ب,ح,ت,ر,ل,,
بحثر,ب,ح,ث,ر,ل,,
بحثن,ب,ح,ث,ن,ل,,
بحلس,ب,ح,ل,س,ل,,
بخبخ,ب,خ,ب,خ,ل,,
بختر,ب,خ,ت,ر,ل,,
بخثر,ب,خ,ث,ر,ل,,
بخدن,ب,خ,د,ن,,ل,
بخصل,ب,خ,ص,ل,ل,,
بخضل,ب,خ,ض,ل,ل,,
بخند,ب,خ,ن,د,,,ل
بخنق,ب,خ,ن,ق,ل,,
بذعر,ب,ذ,ع,ر,ل,,ل
بذقر,ب,ذ,ق,ر,,,ل
برأل,ب,ر,أ,ل,ل,,ل
بربر,ب,ر,ب,ر,ل,,
بربس,ب,ر,ب,س,ل,,
بردع,ب,ر,د,ع,,ل,
برذع,ب,ر,ذ,ع,,ل,
برزق,ب,ر,ز,ق,ل,,
برشق,ب,ر,ش,ق,,ل,
برطل,ب,ر,ط,ل,ل,,
برطم,ب,ر,ط,م,ل,ل,
برعص,ب,ر,ع,ص,ل,,
برعم,ب,ر,ع,م,ل,,
برغش,ب,ر,غ,ش,,,ل
برقح,ب,ر,ق,ح,ل,,
برقش,ب,ر,ق,ش,ل,ل,
برقط,ب,ر,ق,ط,ل,,
برقع,ب,ر,ق,ع,ل,,
بركع,ب,ر,ك,ع,ل,,
برنت,ب,ر,ن,ت,,,ل
برنس,ب,ر,ن,س,ل,,
برهن,ب,ر,ه,ن,ل,,
بزعر,ب,ز,ع,ر,ل,,
بزغر,ب,ز,غ,ر,ل,,
بسبس,ب,س,ب,س,ل,,
بشبش,ب,ش,ب,ش,ل,,
بصبص,ب,ص,ب,ص,ل,,
بطبط,ب,ط,ب,ط,ل,,
بطرق,ب,ط,ر,ق,ل,,
بظرم,ب,ظ,ر,م,ل,,
بعثر,ب,ع,ث,ر,ل,,
بعثق,ب,ع,ث,ق,ل,,
بعرص,ب,ع,ر,ص,ل,,
بعزق,ب,ع,ز,ق,ل,,
بعصص,ب,ع,ص,ص,ل,,
بعضض,ب,ع,ض,ض,ل,,
بعنق,ب,ع,ن,ق,,ل,
بغثر,ب,غ,ث,ر,ل,,
بغدد,ب,غ,د,د,ل,,
بغزل,ب,غ,ز,ل,ل,,
بكبك,ب,ك,ب,ك,ل,,
بلبل,ب,ل,ب,ل,ك,,
بلتع,ب,ل,ت,ع,ل,,
بلخص,ب,ل,خ,ص,ل,,
بلدح,ب,ل,د,ح,ل,ل,
بلدك,ب,ل,د,ك,,ل,
بلسم,ب,ل,س,م,ل,,
بلصق,ب,ل,ص,ق,ل,,
بلصي,ب,ل,ص,ي,,ل,
بلطح,ب,ل,ط,ح,ل,,
بلقع,ب,ل,ق,ع,,ل,
بلقق,ب,ل,ق,ق,,ل,
بلهص,ب,ل,ه,ص,ل,,
بلور,ب,ل,و,ر,ل,,
بهبه,ب,ه,ب,ه,ل,,
بهرج,ب,ه,ر,ج,ل,,
بهرس,ب,ه,ر,س,ل,,
بهرم,ب,ه,ر,م,ل,,
بهصل,ب,ه,ص,ل,ل,,
بهكن,ب,ه,ك,ن,ل,,
بهلس,ب,ه,ل,س,ل,,
بهلص,ب,ه,ل,ص,ل,,
بهلق,ب,ه,ل,ق,ل,,
بهنس,ب,ه,ن,س,ل,,
بيهس,ب,ي,ه,س,ل,,
ترتر,ت,ر,ت,ر,ل,,
تعتع,ت,ع,ت,ع,ل,,
تقتق,ت,ق,ت,ق,ل,,
تلأب,ت,ل,أ,ب,,,ل
تلفز,ت,ل,ف,ز,,,
تلمذ,ت,ل,م,ذ,ك,,
تمأر,ت,م,أ,ر,,,ل
تمأل,ت,م,أ,ل,,,ل
تمهل,ت,م,ه,ل,,,ل
تنبل,ت,ن,ب,ل,,,
تهته,ت,ه,ت,ه,ل,,
ثأثأ,ث,أ,ث,أ,ل,,
ثألل,ث,أ,ل,ل,ل,,
ثبأج,ث,ب,أ,ج,,,ل
ثبأر,ث,ب,أ,ر,,,ل
ثبجر,ث,ب,ج,ر,,,ل
ثجثج,ث,ج,ث,ج,ل,,
ثربج,ث,ر,ب,ج,,ل,
ثرتي,ث,ر,ت,ي,,ل,
ثردي,ث,ر,د,ي,,ل,
ثرطأ,ث,ر,ط,أ,,ل,
ثرمط,ث,ر,م,ط,,ل,ل
ثطعم,ث,ط,ع,م,ل,,
ثعثع,ث,ع,ث,ع,ل,,
ثعجر,ث,ع,ج,ر,,ل,
ثعلب,ث,ع,ل,ب,ل,,
ثفرق,ث,ف,ر,ق,ل,,
ثلثل,ث,ل,ث,ل,ل,,
ثمأد,ث,م,أ,د,,,ل
ثمثم,ث,م,ث,م,ل,,
ثمعد,ث,م,ع,د,,,ل
جأجأ,ج,أ,ج,أ,ل,,
جثأل,ج,ث,أ,ل,,,ل
جثجث,ج,ث,ج,ث,ل,,
جحدر,ج,ح,د,ر,ل,,
جحدل,ج,ح,د,ل,ل,,
جحشش,ج,ح,ش,ش,,ل,
جحفل,ج,ح,ف,ل,ل,,
جخجخ,ج,خ,ج,خ,ل,,
جذأر,ج,ذ,أ,ر,,,ل
جرأش,ج,ر,أ,ش,,,ل
جربل,ج,ر,ب,ل,ل,,
جربي,ج,ر,ب,ي,ل,ل,
جرثم,ج,ر,ث,م,ك,ل,
جرثي,ج,ر,ث,ي,ل,,
جرجر,ج,ر,ج,ر,ك,,
جرجم,ج,ر,ج,م,ل,,
جرشم,ج,ر,ش,م,,ل,
جرعب,ج,ر,ع,ب,,,ل
جرمز,ج,ر,م,ز,ل,,
جسأن,ج,س,أ,ن,,,ل
جعبي,ج,ع,ب,ي,ل,,
جعثم,ج,ع,ث,م,ل,,
جعثن,ج,ع,ث,ن,ل,,
جعجع,ج,ع,ج,ع,ل,,
